,disciplina,numero_questao,assunto,enunciado,alternativas,gabarito
0,adm_geral,Questão 1:, Liderança,"O Jornal O Estado de São Paulo publicou reportagem denominada “De Nobel da Paz a líder de guerra, Abiy Ahmed encara eleição na Etiópia”, em que discutia como o primeiro-ministro do país africano enfrenta a vontade das urnas pela primeira vez, desde que chegou ao cargo, em um processo eleitoral bastante questionado a partir do seguinte quadro:
“Mesmo a votação desta segunda-feira, antes anunciada como a primeira eleição livre do país, e uma chance de virar a página em décadas de governos autocráticos, apenas reforçou as divisões internas e alimentou advertências sombrias de que o futuro da Etiópia está em dúvida.”
  (O Estado de São Paulo. “De Nobel da Paz a líder de guerra, Abiy Ahmed encara eleição na Etiópia”. Internacional, São Paulo, ano 2021. Disponível em: https://internacional.estadao.com.br/noticias/geral)
  No contexto desta publicação, a liderança de governos autocráticos é caracterizada por"," a)  busca da popularidade com os liderados.
 b)  divisão dos poderes de decisão entre chefe e grupo.
 c)  delegação do poder de decisão ao grupo.
 d)  abuso de autoridade e delegação de poder.
 e)  centralização de poder de decisão no chefe.",E
1,adm_geral,Questão 2:, Liderança,Liderança pode ser entendida como o processo de conduzir as ações ou influenciar o comportamento e a mentalidade de outras pessoas. Uma característica da liderança é," a)  incluir o poder de forçar a obediência das regras aceitas para a convivência interna da organização.
 b)  ser limitada no tempo e no espaço geográfico, social ou organizacional, sendo que os limites definem a sua jurisdição.
 c)  fundamentar-se na crença dos seguidores a respeito da qualidade do líder e do seu interesse de segui-lo.
 d)  representar ser um atributo singular único.
 e)  ser temporária para a pessoa que desempenha o papel de figura de liderança.",C
2,adm_geral,Questão 3:, Liderança,"Há muitos estudos e definições desse complexo processo social que é a liderança. Em relação com esse tema, é correto afirmar:"," a)  desempenhando um papel que tem perdido importância nos últimos tempos, a liderança tem sido menos focalizada pela abordagem comportamental na administração.
 b)  palavras como adeptos, colaboradores, influência e outras semelhantes implicam uma importante condição para a liderança: obediência.
 c)  para realizar suas atividades, a pessoa que ocupa uma posição de autoridade formal precisa ter liderança informal sobre seus colaboradores.
 d)  a liderança é diferente da autoridade formal, que é uma das bases das organizações e um atributo dos cargos gerenciais.
 e)  chefes são iguais a líderes, pois a base em que se assenta a capacidade de influenciar é a mesma em ambos os casos.",D
3,adm_geral,Questão 4:, Liderança,"No relacionamento interpessoal entre líderes e liderados, uma das mais desejadas qualidades do líder é o saber realmente se colocar no lugar do outro para entender suas razões, suas demandas e suas dificuldades. Essa capacidade é chamada de"," a)  positividade.
 b)  firmeza.
 c)  preocupação.
 d)  empatia.
 e)  assertividade.",D
4,adm_geral,Questão 5:, Liderança,"Existe uma visão bidimensional da liderança, segundo a qual o líder pode combinar dois estilos de liderança em seu comportamento ou enfatizá-los simultaneamente, sendo mutuamente includentes. O modelo de liderança bidimensional envolve os seguintes estilos: liderança"," a)  orientada para a tarefa e liderança orientada para as pessoas.
 b)  orientada para as pessoas e liderança carismática.
 c)  orientada para a tarefa e liderança transacional.
 d)  orientada para a tarefa e liderança carismática.
 e)  carismática e liderança transacional.",A
5,adm_geral,Questão 6:, Liderança,"Liderança tem a ver com
 a)  a capacidade de exercer o controle dos funcionários.
 b)  habilidades, e não com uma função atribuída.
 c)  atuação coercitiva no sentido de obter resultados.
 d)  exercício de autoridade em todas as situações.
 e)  eficiência, e não, necessariamente, eficácia."," a)  a capacidade de exercer o controle dos funcionários.
 b)  habilidades, e não com uma função atribuída.
 c)  atuação coercitiva no sentido de obter resultados.
 d)  exercício de autoridade em todas as situações.
 e)  eficiência, e não, necessariamente, eficácia.",B
6,adm_geral,Questão 7:, Liderança,"Um determinado gestor tem como característica tomar decisões muito bem embasadas, que ocorrem em um período de tempo significativamente curto e que produzem excelentes resultados. Sua equipe não só compartilha da sua ideologia de trabalho como apresenta uma forte convicção de que não poderia trabalhar com outro gestor, uma vez que aprecia os resultados obtidos.

O tipo de poder que este gestor exerce sobre os seus colaboradores é classificado como
 a)  manipulativo.
 b)  alienatório.
 c)  coercitivo.
 d)  normativo.
 e)  calculista."," a)  manipulativo.
 b)  alienatório.
 c)  coercitivo.
 d)  normativo.
 e)  calculista.",D
7,adm_geral,Questão 8:, Liderança,"O gestor que tem por padrão enfatizar as relações humanas e o desenvolvimento da capacidade de trabalho em equipe e que, ao apoiar os seus colaboradores, é amigável, ouve, presta atenção e encontra-se sempre preocupado com o funcionário, sendo, por vezes, classificado por seus pares como permissivo ou omisso, é o gestor que exerce a liderança
 a)  orientada para pessoas.
 b)  bidimensional.
 c)  autocrática.
 d)  orientada para a tarefa.
 e)  demagógica."," a)  orientada para pessoas.
 b)  bidimensional.
 c)  autocrática.
 d)  orientada para a tarefa.
 e)  demagógica.",A
8,adm_geral,Questão 9:, Liderança,"Após ser aprovado no concurso de QFO/QC, o militar foi designado para ser chefe de uma seção administrativa composta por mais um sargento, dois cabos e cinco soldados. Por conta da sua ascendência hierárquica, todos cumprem suas ordens, mas ele ainda percebe certa resistência e insegurança dos subordinados em seguirem suas determinações.

Considerando os aspectos envolvidos na arte de liderar pessoas, o outro atributo que ainda precisa ser estabelecido entre esse militar e os outros membros da equipe é
 a)  o respeito.
 b)  a confiança.
 c)  a obediência.
 d)  a fidelidade.
 e)  a tutela."," a)  o respeito.
 b)  a confiança.
 c)  a obediência.
 d)  a fidelidade.
 e)  a tutela.",B
9,adm_geral,Questão 10:, Liderança,"Liderança e poder são elementos interligados no processo de influenciar pessoas. O poder é a força no direcionamento dos sistemas e das situações sociais através dos recursos organizacionais. Quando diz respeito à autoridade que aplica punições visando eliminar, reduzir ou controlar comportamentos e atitudes indesejados em determinado contexto social, o poder é denominado"," a)  poder legítimo.
 b)  poder coercitivo.
 c)  poder de recompensa.
 d)  poder de especialização.
 e)  poder de referência.",B
